3b225aa0-ff92-4f30-b50b-9a11bd5a884a,Gislaved,Henrik Trollesgatan,9
f73471ee-b588-46d0-a9b0-0a60293d7011,Landskrona,Backabovägen,12
7abf605c-f3cc-4566-8844-f4c1ddebd170,Höör,Havsjövägen,4
885bb26e-949f-430b-a805-53080839c5c8,Hemse,Nissamålavägen,8
52a8696f-7ec3-426a-a8a6-18c7f3b93109,Vilhelmina,Patrullvägen,13
6b7f52f9-e990-4484-905f-bba1cf3c8bea,Hedemora,Idrottsvägen,23
45643c7e-6052-4d28-8e25-965e857fabce,Strömstad,Björkholmskajen,3
df05b133-fbe9-4d78-a327-0d495977b1d3,Järvsö,Kungsbron,34
8bfa22ab-e217-4575-9172-582fc9538b7a,Svalöv,Odengatan,9
e3cc0bab-c743-4759-bc3f-71a8e1873c59,Nacka,Rosenhällsvägen,29
344a8ee9-c9a3-435f-848a-6a3dbe069e28,Vadstena,Fisktorget,29
6975b7a8-e5ff-49ec-a83f-ff0386ab4096,Boxholm,Trollemåla,19
4feebe2e-59c7-4263-8a82-d222489f173d,Hunnebostrand,Apotekarevägen,17
10b0abda-e128-4a9f-8d33-ac89876e7957,Bollebygd,Salviagatan,8
da525fb0-eb5b-48ab-a927-4c6220ea17be,Staffanstorp,Frejavägen,4
2edef49e-94b6-4f27-a196-5a4e7fd6ab35,Lund,Lärkvägen,33
3aba38c5-4d51-480f-a723-b0a3cde933c8,Trelleborg,Päronvägen,18
32345ebf-ddd6-4daa-9bfa-f9006a7d25d4,Västerås,Saltövägen,4
bb85f9bf-03e3-4228-94d3-66cc36ab9f48,Norsjö,Snickaregatan,33
3954bfce-b68e-45d4-a797-b4fa9b8719f1,Kungsängen,Nissamålavägen,32
a7434550-520e-43fa-ba94-1b42296013df,Smögen,Dragsövägen,15
84351b7c-48be-4f87-b6c9-f386cc0dc78c,Trosa,Hagtornsvägen,14
9b7c6c91-f594-4dbb-abc4-fd1c8ba4e10f,Töre,Ulvasjömåla,19
69b71ee0-3f62-48ee-aa3f-9bbc7e0e3e41,Katrineholm,Sagavägen,13
83cd51f1-80ce-4352-ae64-1dbe436de768,Malå,Grönsiskevägen,20
0236b107-dcd6-46b7-a19a-4d408baaabeb,Lycksele,Båtsmansgränd,24
85e5c1a8-752b-4338-a822-37f340cfe211,Arboga,Wrangelsgatan,11
fb5bbb93-5d00-454a-bbbb-e9dad2f8bc65,Burträsk,Forsvägen,5
796eb9f1-d2a3-4722-9adb-c2a24bbdc882,Henån,Tersmedens Väg,33
714f3fd8-3edf-4fb8-af41-54e1341e5517,Vänersborg,Björkhagavägen,25
f13c4088-2180-4e00-9663-0f913adc27fc,Mora,Trombgatan,28
9fc3d9ae-b67b-4aea-888b-84f8288251ad,Malmberget,Ingenjörsgatan,12
63cf4fa2-7017-47f0-9dd1-377022847b39,Skärhamn,Näckens Väg,19
e99b0aa6-7674-4ed5-a8e3-093190ad0d43,Vetlanda,Ekvägen,12
0f70f9bc-5905-4d54-af3e-e49a31f2706a,Färgelanda,Smultronvägen,30
607871f6-d241-486b-80cb-b61efbddb0a8,Skellefteå,Pantarholmskajen,14
